Africana Library Open House,Academic;Diversity and Inclusion;Family Friendly;Open House;Student Success;University Events,Africana Studies and Research Center; 310 Triphammer Road,-76.4823330605,42.4574290881
Architecture; Art; and Planning (AAP) Deans Welcome and Reception,Architecture; Art & Planning;Family Friendly;First-Year Students;Required;Transfer Students,Abby and Howard Milstein Auditorium,-76.483563,42.451219
Arts and Sciences Welcome Hub,Academic;Arts & Sciences;Family Friendly;Finding Community;First-Year Students;Transfer Students,Groos Family Atrium; Klarman Hall (ground floor),-76.4830291271,42.4490955981
Arts and Sciences Welcome Hub,Academic;Arts & Sciences;Family Friendly;Finding Community;First-Year Students;Transfer Students,Groos Family Atrium; Klarman Hall (ground floor),-76.4830291271,42.4490955981
Big Red Welcome Fest,Arts;Family Friendly;Music;University Events,Ho Plaza,-76.4850719484,42.4466968389
Big Red Welcome Fest,Arts;Family Friendly;Music;University Events,Ho Plaza,-76.4850719484,42.4466968389
Botanic Gardens Open House,Family Friendly;Health and Wellness;Open House;Outdoors;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Botanic Gardens Open House,Family Friendly;Health and Wellness;Open House;Outdoors;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Botanic Gardens Tour,Family Friendly;Health and Wellness;Outdoors;Tour;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Botanic Gardens Tour,Family Friendly;Health and Wellness;Outdoors;Tour;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Botanic Gardens Tour,Family Friendly;Health and Wellness;Outdoors;Tour;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Botanic Gardens Tour,Family Friendly;Health and Wellness;Outdoors;Tour;University Events,Nevin Welcome Center; Plantations Road,-76.4719028009,42.4494149539
Bursar and Financial Aid and Student Employment,University Events,Lobby,-76.483271,42.447017
CALS Welcome Lounge,Agriculture & Life Sciences;Family Friendly,Ag Quad,-76.47859920035884,42.44874223637841
CALS Welcome Lounge,Agriculture & Life Sciences;Family Friendly,Ag Quad,-76.47859920035884,42.44874223637841
Career Success? Yes!,Parent Program;Student Success;University Events,Rhodes-Rawlings Auditorium; KG70 Klarman Hall,-76.4830291271,42.4490955981
Career Success? Yes!,Parent Program;Student Success;University Events,G1 Uris Hall,-76.482197,42.447205
College of Engineering Student Services Resource Fair,Engineering;Family Friendly;Open House;Student Success,Swanson Atrium; Duffield Hall,-76.482571,42.444667
Cornell Cinema Open House,Arts;Diversity and Inclusion;Family Friendly;Health and Wellness;Open House;University Events,Cornell Cinema; Willard Straight Hall,-76.485645,42.446558
Cornell Cinema Open House,Arts;Diversity and Inclusion;Family Friendly;Health and Wellness;Open House;University Events,Cornell Cinema; Willard Straight Hall,-76.485645,42.446558
Cornell Health Open House,Family Friendly;Health and Wellness;University Events,Cornell Health,-76.485558,42.445832
Cornell Health Open House,Family Friendly;Health and Wellness;University Events,Cornell Health,-76.485558,42.445832
Cornell IT Security Office Open House,Family Friendly;Open House;Student Success;University Events,B40 Olin Library,-76.484241,42.44785
Cornell IT Security Office Open House,Family Friendly;Open House;Student Success;University Events,B40 Olin Library,-76.484241,42.44785
Cornell School of Continuing Education (SCE) Open House: Learn about Summer and Winter Study Options,Academic;Family Friendly;Open House;University Events,B20 Day Hall,-76.483271,42.447017
Deans Drop-In Welcome ,Family Friendly;SC Johnson College of Business - Dyson School,Ag Quad Tent,-76.47859920035884,42.44874223637841
Deans Welcome and Informational Briefing for Families,Engineering;Parent Program,Barton Hall,-76.480718,42.445954
Diversity and Inclusion Student Orientation and Parents Panel,Academic;Diversity and Inclusion;Family Friendly;Finding Community;Student Success;University Events,B25 Auditorium; Warren Hall,-76.477098,42.449213
Diversity and Inclusion Student Orientation and Parents Panel,Academic;Diversity and Inclusion;Family Friendly;Finding Community;Student Success;University Events,B25 Auditorium; Warren Hall,-76.477098,42.449213
Division of Asia Collections Open House,Academic;Family Friendly;Open House;University Events,Level 1; Kroch Library,-76.483459,42.448031
Division of Rare and Manuscript Collections Open House,Academic;Family Friendly;Open House;Student Success;University Events,Level 2B; Kroch Library,-76.483459,42.448031
Division of Rare and Manuscript Collections Open House,Academic;Family Friendly;Open House;Student Success;University Events,Level 2B; Kroch Library,-76.483459,42.448031
Dump and Run,Family Friendly;University Events,Shops at Ithaca Mall,-76.49309408293789,42.48384535756833
Dump and Run,Family Friendly;University Events,Shops at Ithaca Mall,-76.49309408293789,42.48384535756833
Education Abroad Open House,Academic;Family Friendly;First-Year Students;Open House;Transfer Students;University Events,276 Caldwell Hall,-76.478261,42.449222
Education Abroad Open House,Academic;Family Friendly;First-Year Students;Open House;Transfer Students;University Events,276 Caldwell Hall,-76.478261,42.449222
Engineering Light Dinner Reception and Major Information Fair ,Engineering;Family Friendly;Featured;Open House,Swanson Atrium; Duffield Hall; 116 Upson Hall,-76.482571,42.444667
Explore Cornells Campus Gorges,Family Friendly;Outdoors;Tour;University Events,Meet in front of Martin Y. Tang Welcome Center,-76.48035553097725,42.45224408796676
